STATE STREET BR S.A. BCO COMERCIAL;14;State Street Brasil S.A. - Banco Comercial
CARUANA SCFI;130;Caruana S.A. Sociedade de Crédito, Financiamento e Investimento
CODEPE CVC S.A.;127;Codepe Corretora de Valores e Câmbio S.A.
BCO ORIGINAL DO AGRO S/A;79;Banco Original do Agronegócio S.A.
BANCOSEGURO S.A.;81;BancoSeguro S.A.
CRESOL CONFEDERAÇÃO;133;Confederação Nacional das Cooperativas Centrais de Crédito e Economia Familiar e
BCO AGIBANK S.A.;121;Banco Agibank S.A.
BCO DA CHINA BRASIL S.A.;83;Banco da China Brasil S.A.
GET MONEY CC LTDA;138;Get Money Corretora de Câmbio S.A.
BCO BANDEPE S.A.;24;Banco Bandepe S.A.
OM DTVM LTDA;319;OM Distribuidora de Títulos e Valores Mobiliários Ltda.
TRAVELEX BANCO DE CÂMBIO S.A.;95;Travelex Banco de Câmbio S.A.
BANCO FINAXIS;94;Banco Finaxis S.A.
STANDARD CHARTERED BI S.A.;118;Standard Chartered Bank (Brasil) S.A. Banco de Investimento
SENFF S.A. - CFI;276;Senff S.A. - Crédito, Financiamento e Investimento
BRK S.A. CFI;92;BRK S.A. Crédito, Financiamento e Investimento
BCO DO EST. DE SE S.A.;47;Banco do Estado de Sergipe S.A.
BEXS BCO DE CAMBIO S.A.;144;Bexs Banco de Câmbio S.A.
BR PARTNERS BI;126;BR Partners Banco de Investimento S.A.
ÓRAMA DTVM S.A.;325;Órama Distribuidora de Títulos e Valores Mobiliários S.A.
BPP IP S.A.;301;BPP Instituição de Pagamento S.A.
BRL TRUST DTVM SA;173;BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.
BCO WESTERN UNION;119;Banco Western Union do Brasil S.A.
CAMBIONET CC LTDA;309;Cambionet Corretora de Câmbio Ltda.
PARANA BCO S.A.;254;Parana Banco S. A.
BARIGUI CH;268;Barigui Companhia Hipotecária
BCO BOCOM BBM S.A.;107;Banco Bocom BBM S.A.
BCO CAPITAL S.A.;412;Banco Capital S. A.
BCO WOORI BANK DO BRASIL S.A.;124;Banco Woori Bank do Brasil S.A.
FACTA S.A. CFI;149;Facta Financeira S.A. - Crédito Financiamento e Investimento
STONE PAGAMENTOS S.A.;197;Stone Pagamentos S.A.
BROKER BRASIL CC LTDA.;142;Broker Brasil Corretora de Câmbio Ltda.
BCO MERCANTIL DO BRASIL S.A.;389;Banco Mercantil do Brasil S.A.
BCO ITAÚ BBA S.A.;184;Banco Itaú BBA S.A.
BCO TRIANGULO S.A.;634;Banco Triângulo S.A.
SENSO CCVM S.A.;545;Senso Corretora de Câmbio e Valores Mobiliários S.A.
ICBC DO BRASIL BM S.A.;132;ICBC do Brasil Banco Múltiplo S.A.
VIPS CC LTDA.;298;Vip's Corretora de Câmbio Ltda.
NU PAGAMENTOS S.A.;260;Nu Pagamentos S.A.
UBS BRASIL BI S.A.;129;UBS Brasil Banco de Investimento S.A.
MS BANK S.A. BCO DE CÂMBIO;128;MS Bank S.A. Banco de Câmbio
PARMETAL DTVM LTDA;194;Parmetal Distribuidora de Títulos e Valores Mobiliários Ltda.
VORTX DTVM LTDA.;310;Vortx Distribuidora de Títulos e Valores Mobiliários Ltda.
COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO;163;Commerzbank Brasil S.A. - Banco Múltiplo
AVISTA S.A. CFI;280;Avista S.A. Crédito, Financiamento e Investimento
GUITTA CC LTDA;146;Guitta Corretora de Câmbio Ltda.
CCR DE PRIMAVERA DO LESTE;279;Cooperativa de Crédito Rural de Primavera do Leste
DACASA FINANCEIRA S/A - SCFI;182;Dacasa Financeira S/A - Sociedade de Crédito, Financiamento e Investimento      
GENIAL INVESTIMENTOS CVM S.A.;278;Genial Investimentos Corretora de Valores Mobiliários S.A.
IB CCTVM LTDA;271;IB Corretora de Câmbio, Títulos e Valores Mobiliários Ltda.
BCO BANESTES S.A.;21;Banestes S.A. Banco do Estado do Espírito Santo
BCO ABC BRASIL S.A.;246;Banco ABC Brasil S.A.
BS2 DTVM S.A.;292;BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
B3 Cetip;;B3 SA - Brasil, Bolsa, Balcão - Segmento Cetip UTVM
CIP C3;;Câmara Interbancária de Pagamentos - CIP C3
SCOTIABANK BRASIL;751;Scotiabank Brasil S.A. Banco Múltiplo
BANCO BTG PACTUAL S.A.;208;Banco BTG Pactual S.A.
BCO MODAL S.A.;746;Banco Modal S.A.
BCO CLASSICO S.A.;241;Banco Clássico S.A.
BCO C6 S.A.;336;Banco C6 S.A.
BCO GUANABARA S.A.;612;Banco Guanabara S.A.
BCO INDUSTRIAL DO BRASIL S.A.;604;Banco Industrial do Brasil S.A.
BCO CREDIT SUISSE (BRL) S.A.;505;Banco Credit Suisse (Brasil) S.A.
SCD QI            ;329;QI Sociedade de Crédito Direto S.A.
FAIR CC S.A.;196;Fair Corretora de Câmbio S.A.
BCO LA NACION ARGENTINA;300;Banco de la Nacion Argentina
CITIBANK N.A.;477;Citibank N.A.
BCO CEDULA S.A.;266;Banco Cédula S.A.
BCO BRADESCO BERJ S.A.;122;Banco Bradesco BERJ S.A.
BCO J.P. MORGAN S.A.;376;Banco J. P. Morgan S. A.
BCO CAIXA GERAL BRASIL S.A.;473;Banco Caixa Geral - Brasil S.A.
BCO CITIBANK S.A.;745;Banco Citibank S.A.
BCO RODOBENS S.A.;120;Banco Rodobens SA
BCO FATOR S.A.;265;Banco Fator S.A.
BNDES;7;Banco Nacional de Desenvolvimento Econômico e Social BNDES
ATIVA S.A. INVESTIMENTOS CCTVM;188;Ativa Investimentos S.A. Corretora de Títulos Câmbio e Valores
BGC LIQUIDEZ DTVM LTDA;134;BGC Liquidez Distribuidora de Títulos e Valores Mobiliários Ltda.
BCO ALVORADA S.A.;641;Banco Alvorada S.A.
BANCO ITAÚ CONSIGNADO S.A.;29;Banco Itaú Consignado S.A.
BCO MÁXIMA S.A.;243;Banco Máxima S.A.
HAITONG BI DO BRASIL S.A.;78;Haitong Banco de Investimento do Brasil S.A.
OLIVEIRA TRUST DTVM S.A.;111;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.
PORTOPAR DTVM LTDA;306;Portopar Distribuidora de Títulos e Valores Mobiliários Ltda.
BNY MELLON BCO S.A.;17;BNY Mellon Banco S.A.
PERNAMBUCANAS FINANC S.A. CFI;174;Pernambucanas Financiadora S.A. Crédito, Financiamento e Investimento           
BCO LA PROVINCIA B AIRES BCE;495;Banco de La Provincia de Buenos Aires
BRASIL PLURAL S.A. BCO.;125;Brasil Plural S.A. Banco Múltiplo
